implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
sdpa,256,2,128,2,1.808,0.0689,1532.47
sdpa,256,2,128,3,1.8089,0.0689,1532.47
sdpa,256,2,128,4,1.8087,0.069,1532.47
sdpa,256,2,128,5,1.8079,0.0692,1532.47
sdpa,256,4,128,1,2.0866,0.135,1615.76
sdpa,256,4,128,2,2.085,0.1363,1615.78
sdpa,256,4,128,3,2.087,0.1367,1615.78
sdpa,256,4,128,4,2.0842,0.1365,1615.78
sdpa,256,4,128,5,2.0858,0.1361,1615.78
sdpa,512,1,128,1,1.7232,0.0689,1529.85
sdpa,512,1,128,2,1.7227,0.0698,1529.86
sdpa,512,1,128,3,1.7249,0.07,1529.86
sdpa,512,1,128,4,1.7245,0.07,1529.86
sdpa,512,1,128,5,1.7237,0.07,1529.86
sdpa,512,2,128,1,2.0365,0.1366,1586.39
sdpa,512,2,128,2,2.0292,0.138,1586.4
sdpa,512,2,128,3,2.0251,0.138,1586.4
sdpa,512,2,128,4,2.0267,0.138,1586.4
sdpa,512,2,128,5,2.0281,0.1379,1586.4
sdpa,512,4,128,1,2.5418,0.256,1729.81
sdpa,512,4,128,2,2.5392,0.2581,1729.83
sdpa,512,4,128,3,2.5383,0.2589,1729.83
sdpa,512,4,128,4,2.5406,0.2596,1729.83
sdpa,512,4,128,5,2.5399,0.2587,1729.83
sdpa,1024,1,128,1,1.9554,0.1407,1580.31
sdpa,1024,1,128,2,1.9523,0.142,1580.31
sdpa,1024,1,128,3,1.9536,0.1419,1580.31
sdpa,1024,1,128,4,1.953,0.1421,1580.31
sdpa,1024,1,128,5,1.9509,0.1427,1580.31
sdpa,1024,2,128,1,2.4555,0.2639,1718.84
sdpa,1024,2,128,2,2.4509,0.2657,1718.85
sdpa,1024,2,128,3,2.4558,0.2667,1718.85
sdpa,1024,2,128,4,2.4529,0.268,1718.85
sdpa,1024,2,128,5,2.4524,0.2669,1718.85
sdpa,1024,4,128,1,3.4728,0.5172,1995.9
sdpa,1024,4,128,2,3.4727,0.52,1995.93
sdpa,1024,4,128,3,3.471,0.5192,1995.93
sdpa,1024,4,128,4,3.4732,0.5196,1995.93
sdpa,1024,4,128,5,3.4713,0.5193,1995.93
sdpa,1800,1,128,1,2.2834,0.2507,1686.26
sdpa,1800,1,128,2,2.2802,0.2525,1686.28
sdpa,1800,1,128,3,2.2798,0.2521,1686.28
sdpa,1800,1,128,4,2.2815,0.2527,1686.28
sdpa,1800,1,128,5,2.2799,0.2527,1686.28
sdpa,1800,2,128,1,3.1196,0.4829,1929.77
sdpa,1800,2,128,2,3.1148,0.4859,1929.8
sdpa,1800,2,128,3,3.1153,0.4859,1929.8
sdpa,1800,2,128,4,3.1131,0.4848,1929.8
sdpa,1800,2,128,5,3.1141,0.485,1929.8
sdpa,1800,4,128,1,4.9356,0.9676,2416.74
sdpa,1800,4,128,2,4.9362,0.9682,2416.79
sdpa,1800,4,128,3,4.9374,0.9671,2416.79
sdpa,1800,4,128,4,4.9365,0.9684,2416.79
sdpa,1800,4,128,5,4.9403,0.9679,2416.79
